case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N4096__b256__constant_b32__fp16_fp32__rows4,4096,256,constant_b32,constant,8,8,fp16_fp32,4,4325376,10.374125,10.346794,12.377493,12.279636,0.32757,0.326859,0.220671,0.21408,0.6736605916292702,10.701694999999999,1,4.563402752e9,4.563402752e9,0.0,13931.076569893457,622822.9059187659
N4096__b256__constant_b16__fp16_fp32__rows4,4096,256,constant_b16,constant,16,16,fp16_fp32,4,8912896,9.417013,9.397754,11.331608,11.286361,0.346509,0.345327,0.220671,0.21408,0.6368406015428171,9.763522,1,9.663676416e9,9.663676416e9,0.0,27888.673644840394,622822.9059187659
N4096__b256__constant_b8__fp16_fp32__rows4,4096,256,constant_b8,constant,32,32,fp16_fp32,4,18874368,9.469782,9.427238,11.568683,11.434182,0.403864,0.403624,0.220671,0.21408,0.5463992829269259,9.873646,1,2.147483648e10,2.147483648e10,0.0,53173.435810074676,622822.9059187659
N4096__b256__uniform_b32_b8__fp16_fp32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp16_fp32,4,13511552,9.750041,9.5755,11.64003,11.626609,0.373179,0.373069,0.220671,0.21408,0.5913274862733434,10.12322,1,1.207602176e10,1.4560919552e10,17.065527923054074,39018.59309339486,622822.9059187659
N4096__b256__skewed_b32_b8__fp16_fp32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp16_fp32,4,10920704,9.585214,9.581238,11.425959,11.365609,0.379798,0.379327,0.220671,0.21408,0.581022016966914,9.965012,1,9.208372224e9,1.1276189696e10,18.33790959310942,29689.96597138479,622822.9059187659
N4096__b256__constant_b32__fp32_tf32__rows4,4096,256,constant_b32,constant,8,8,fp32_tf32,4,8650752,55.177956,21.915437,69.207141,34.171169,0.318106,0.316704,1.400766,1.246074,4.403456709398753,55.496062,1,4.563402752e9,4.563402752e9,0.0,14345.541272406053,98116.99703733528
N4096__b256__constant_b16__fp32_tf32__rows4,4096,256,constant_b16,constant,16,16,fp32_tf32,4,17825792,9.419316,9.322642,11.425649,11.402103,0.387369,0.382893,1.400766,1.246074,3.616102475933799,9.806685,1,9.663676416e9,9.663676416e9,0.0,24946.953462977162,98116.99703733528
N4096__b256__constant_b8__fp32_tf32__rows4,4096,256,constant_b8,constant,32,32,fp32_tf32,4,37748736,10.007566,9.70861,11.702152,11.652117,0.767108,0.564785,1.400766,1.246074,1.8260349259817392,10.774674000000001,1,2.147483648e10,2.147483648e10,0.0,27994.54115978454,98116.99703733528
N4096__b256__uniform_b32_b8__fp32_tf32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp32_tf32,4,27023104,9.637683,9.498985,11.778267,11.615824,0.435362,0.435132,1.400766,1.246074,3.217474193889223,10.073045,1,1.207602176e10,1.4560919552e10,17.065527923054074,33445.54543575232,98116.99703733528
N4096__b256__skewed_b32_b8__fp32_tf32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp32_tf32,4,21841408,9.52821,9.484434,11.532439,11.518788,0.410885,0.409713,1.400766,1.246074,3.4091436776713677,9.939095,1,9.208372224e9,1.1276189696e10,18.33790959310942,27443.66354576098,98116.99703733528
N4096__b256__constant_b32__fp32__rows4,4096,256,constant_b32,constant,8,8,fp32,4,8650752,9.542901,9.417634,13.611901,11.380821,0.66809,0.649182,2.731318,2.719831,4.088248589261926,10.210991,1,4.563402752e9,4.563402752e9,0.0,6830.520965738149,50319.645486904126
N4096__b256__constant_b16__fp32__rows4,4096,256,constant_b16,constant,16,16,fp32,4,17825792,9.447869,9.407419,11.375313,11.317046,0.908079,0.887899,2.731318,2.719831,3.0077977797085937,10.355948000000001,1,9.663676416e9,9.663676416e9,0.0,10641.889544852374,50319.645486904126
N4096__b256__constant_b8__fp32__rows4,4096,256,constant_b8,constant,32,32,fp32,4,37748736,9.485455,9.476072,11.950545,11.745788,1.20261,1.185154,2.731318,2.719831,2.2711585634578126,10.688065,1,2.147483648e10,2.147483648e10,0.0,17856.858399647434,50319.645486904126
N4096__b256__uniform_b32_b8__fp32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp32,4,27023104,10.491291,9.56875,41.0679,29.409603,1.048269,1.032035,2.731318,2.719831,2.6055506744929025,11.53956,1,1.207602176e10,1.4560919552e10,17.065527923054074,13890.441815984257,50319.645486904126
N4096__b256__skewed_b32_b8__fp32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp32,4,21841408,10.034557,10.010331,12.231655,12.222532,0.980908,0.958575,2.731318,2.719831,2.784479278382886,11.015464999999999,1,9.208372224e9,1.1276189696e10,18.33790959310942,11495.664930859979,50319.645486904126
N4096__b512__constant_b32__fp16_fp32__rows4,4096,512,constant_b32,constant,16,16,fp16_fp32,4,4325376,2.205821,2.157669,2.754452,2.62605,0.146249,0.144957,0.220671,0.21408,1.508871855534055,2.35207,1,4.563402752e9,4.563402752e9,0.0,31202.967213451033,622822.9059187659
N4096__b512__constant_b16__fp16_fp32__rows4,4096,512,constant_b16,constant,32,32,fp16_fp32,4,8912896,2.264219,2.140113,2.620952,2.608954,0.162684,0.161412,0.220671,0.21408,1.3564394777605666,2.4269030000000003,1,9.663676416e9,9.663676416e9,0.0,59401.51714981191,622822.9059187659
N4096__b512__constant_b8__fp16_fp32__rows4,4096,512,constant_b8,constant,64,64,fp16_fp32,4,18874368,2.318179,2.183858,2.829555,2.657497,0.192828,0.192158,0.220671,0.21408,1.1443929304872738,2.511007,1,2.147483648e10,2.147483648e10,0.0,111367.83288734002,622822.9059187659
N4096__b512__uniform_b32_b8__fp16_fp32__rows4,4096,512,uniform_b32_b8,uniform,16,64,fp16_fp32,4,12091008,2.286532,2.175856,2.750977,2.672209,0.18101,0.179308,0.220671,0.21408,1.2191094414673223,2.467542,1,1.1299264512e10,1.261109248e10,10.402175466403367,69670.69487873599,622822.9059187659
N4096__b512__skewed_b32_b8__fp16_fp32__rows4,4096,512,skewed_b32_b8,skewed,16,64,fp16_fp32,4,9379584,2.252631,2.150729,2.73963,2.660111,0.170946,0.170505,0.220671,0.21408,1.290881330946615,2.423577,1,8.439154688e9,9.377021952e9,10.001760354202485,54853.70790776035,622822.9059187659
N4096__b512__constant_b32__fp32_tf32__rows4,4096,512,constant_b32,constant,16,16,fp32_tf32,4,8650752,2.697617,2.445409,3.228722,3.042834,0.184957,0.184616,1.400766,1.246074,7.573468427796731,2.882574,1,4.563402752e9,4.563402752e9,0.0,24672.776656195765,98116.99703733528
N4096__b512__constant_b16__fp32_tf32__rows4,4096,512,constant_b16,constant,32,32,fp32_tf32,4,17825792,2.865558,2.515955,4.826432,3.085017,0.212738,0.211827,1.400766,1.246074,6.584465398753395,3.078296,1,9.663676416e9,9.663676416e9,0.0,45425.24803279151,98116.99703733528
N4096__b512__constant_b8__fp32_tf32__rows4,4096,512,constant_b8,constant,64,64,fp32_tf32,4,37748736,2.285961,2.09871,4.272133,2.841843,0.294501,0.293189,1.400766,1.246074,4.756404901850927,2.580462,1,2.147483648e10,2.147483648e10,0.0,72919.40088488664,98116.99703733528
