case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,speedup_vs_dense,exact_flops,executed_flops,padding_waste_pct,executed_gflops,dense_gflops
N4096__b256__constant_b32__fp16_fp32,4096,256,constant_b32,constant,8,8,fp16_fp32,65536,246.385053,239.990343,286.739194,272.949308,4.867404,4.628046,0.219057,0.045004893779106894,8.589934592e9,8.589934592e9,0.0,1764.787675730225,627411.8310394099
N4096__b256__constant_b16__fp16_fp32,4096,256,constant_b16,constant,16,16,fp16_fp32,131072,797.956407,453.951734,272.132796,265.11977,4.834345,4.819723,0.219057,0.04531265352390034,1.7179869184e10,1.7179869184e10,0.0,3553.711864585585,627411.8310394099
N4096__b256__constant_b8__fp16_fp32,4096,256,constant_b8,constant,32,32,fp16_fp32,262144,250.350097,249.604751,719.690821,687.400547,5.19174,5.177298,0.219057,0.04219336869719978,3.4359738368e10,3.4359738368e10,0.0,6618.154678007759,627411.8310394099
N4096__b256__uniform_b32_b8__fp16_fp32,4096,256,uniform_b32_b8,uniform,8,32,fp16_fp32,262144,133.294559,89.35328,911.390825,901.528997,787.428132,770.74985,0.219057,0.00027819300720640245,2.1806186496e10,2.5300041728e10,13.809681697612731,32.12996932652134,627411.8310394099
N4096__b256__skewed_b32_b8__fp16_fp32,4096,256,skewed_b32_b8,skewed,8,32,fp16_fp32,262144,83.82573,79.256139,634.396685,626.597828,533.288607,521.527284,0.219057,0.000410766322634003,1.7515413504e10,2.0770193408e10,15.67043618739903,38.94737884021588,627411.8310394099
N4096__b256__constant_b32__fp32_tf32,4096,256,constant_b32,constant,8,8,fp32_tf32,131072,240.848963,237.74246,282.357945,275.427475,7.848724,7.834873,0.54167,0.0690137658044798,8.589934592e9,8.589934592e9,0.0,1094.437082002119,253731.89113666993
N4096__b256__constant_b16__fp32_tf32,4096,256,constant_b16,constant,16,16,fp32_tf32,262144,255.526098,253.120322,274.913451,271.750603,8.624102,8.590152,0.54167,0.06280885824402355,1.7179869184e10,1.7179869184e10,0.0,1992.0762977988898,253731.89113666993
N4096__b256__constant_b8__fp32_tf32,4096,256,constant_b8,constant,32,32,fp32_tf32,524288,275.553955,252.574749,275.815123,272.627157,10.009714,9.96037,0.54167,0.0541144332395511,3.4359738368e10,3.4359738368e10,0.0,3432.639370915093,253731.89113666993
N4096__b256__uniform_b32_b8__fp32_tf32,4096,256,uniform_b32_b8,uniform,8,32,fp32_tf32,524288,118.180438,104.239457,835.270696,822.832079,684.195509,677.832545,0.54167,0.0007916889147543351,2.1806186496e10,2.5300041728e10,13.809681697612731,36.977795666881526,253731.89113666993
N4096__b256__skewed_b32_b8__fp32_tf32,4096,256,skewed_b32_b8,skewed,8,32,fp32_tf32,524288,106.36741,105.304852,1089.338223,562.534796,408.931548,403.56794,0.54167,0.0013245982185752026,1.7515413504e10,2.0770193408e10,15.67043618739903,50.79136963040083,253731.89113666993
N4096__b256__constant_b32__fp32,4096,256,constant_b32,constant,8,8,fp32,131072,245.727662,242.432105,280.01512,273.198981,20.752916,20.719927,2.738795,0.13197157450066296,8.589934592e9,8.589934592e9,0.0,413.91458395533425,50182.27120759312
N4096__b256__constant_b16__fp32,4096,256,constant_b16,constant,16,16,fp32,262144,260.658888,257.65042,280.311308,276.187573,23.502327,23.492473,2.738795,0.11653292884572664,1.7179869184e10,1.7179869184e10,0.0,730.9858799939257,50182.27120759312
N4096__b256__constant_b8__fp32,4096,256,constant_b8,constant,32,32,fp32,524288,258.710969,252.298091,282.00855,275.208603,28.625837,28.623834,2.738795,0.09567563037545418,3.4359738368e10,3.4359738368e10,0.0,1200.305107864619,50182.27120759312
N4096__b256__uniform_b32_b8__fp32,4096,256,uniform_b32_b8,uniform,8,32,fp32,524288,107.986249,95.763915,1224.847884,864.975892,794.154339,786.880145,2.738795,0.0034486936172239435,2.1806186496e10,2.5300041728e10,13.809681697612731,31.857839824759807,50182.27120759312
N4096__b256__skewed_b32_b8__fp32,4096,256,skewed_b32_b8,skewed,8,32,fp32,524288,111.537129,109.777358,524.786817,519.031061,440.501074,427.097476,2.738795,0.006217453626458127,1.7515413504e10,2.0770193408e10,15.67043618739903,47.151288916040194,50182.27120759312
N4096__b512__constant_b32__fp16_fp32,4096,512,constant_b32,constant,16,16,fp16_fp32,131072,25.789077,25.187799,30.382715,30.132071,1.247475,1.245101,0.219057,0.17560031263151568,8.589934592e9,8.589934592e9,0.0,6885.857104952003,627411.8310394099
N4096__b512__constant_b16__fp16_fp32,4096,512,constant_b16,constant,32,32,fp16_fp32,262144,25.107518,25.093638,89.467555,33.641718,1.417069,1.414304,0.219057,0.15458456857076122,1.7179869184e10,1.7179869184e10,0.0,12123.52340217731,627411.8310394099
N4096__b512__constant_b8__fp16_fp32,4096,512,constant_b8,constant,64,64,fp16_fp32,524288,26.0044,25.41571,29.438394,29.08153,1.412952,1.401084,0.219057,0.15503499057292816,3.4359738368e10,3.4359738368e10,0.0,24317.696827634627,627411.8310394099
N4096__b512__uniform_b32_b8__fp16_fp32,4096,512,uniform_b32_b8,uniform,16,64,fp16_fp32,524288,6.141211,6.080661,56.368698,56.353876,51.96893,51.751535,0.219057,0.0042151531694033335,2.1449670656e10,2.3420993536e10,8.416905444126074,450.6729989630343,627411.8310394099
N4096__b512__skewed_b32_b8__fp16_fp32,4096,512,skewed_b32_b8,skewed,16,64,fp16_fp32,524288,6.244015,6.156034,37.802459,37.417384,31.745754,31.732895,0.219057,0.006900355871213517,1.6793993216e10,1.8522046464e10,9.329710144927537,583.4495682162723,627411.8310394099
N4096__b512__constant_b32__fp32_tf32,4096,512,constant_b32,constant,16,16,fp32_tf32,262144,25.520216,25.381548,30.108226,29.358394,2.088492,2.063055,0.54167,0.2593593846660653,8.589934592e9,8.589934592e9,0.0,4112.984197210236,253731.89113666993
N4096__b512__constant_b16__fp32_tf32,4096,512,constant_b16,constant,32,32,fp32_tf32,524288,26.034334,25.531523,29.79654,29.374468,2.251797,2.242293,0.54167,0.240550102873394,1.7179869184e10,1.7179869184e10,0.0,7629.404064398345,253731.89113666993
N4096__b512__constant_b8__fp32_tf32,4096,512,constant_b8,constant,64,64,fp32_tf32,1048576,25.575969,25.345395,30.701863,29.472215,2.64151,2.622331,0.54167,0.2050607417726982,3.4359738368e10,3.4359738368e10,0.0,13007.61245196876,253731.89113666993
N4096__b512__uniform_b32_b8__fp32_tf32,4096,512,uniform_b32_b8,uniform,16,64,fp32_tf32,1048576,8.339278,8.290325,50.141749,49.860598,41.510774,41.488932,0.54167,0.01304890147314526,2.1449670656e10,2.3420993536e10,8.416905444126074,564.214811701656,253731.89113666993
N4096__b512__skewed_b32_b8__fp32_tf32,4096,512,skewed_b32_b8,skewed,16,64,fp32_tf32,1048576,8.985034,8.968539,33.108942,32.801383,22.478779,22.390957,0.54167,0.024096949393915035,1.6793993216e10,1.8522046464e10,9.329710144927537,823.9792056321209,253731.89113666993
