nextla_measurement_stage,N,q,b,rank,rank_over_b,nextla_median_ms,nextla_min_ms,kblas_median_ms,kblas_min_ms,kblas_time_over_nextla,nextla_dense_median_ms,nextla_speedup_over_dense,nextla_workspace_parameter,nextla_workspace_bytes,nextla_memory_ratio,kblas_workspace_bytes,kblas_memory_ratio,nextla_flop_ratio_ceiling,kblas_flop_ratio_ceiling,nextla_gpu,kblas_gpu
workspace_winners,4096,8,512,32,0.0625,0.4832925,0.44104,0.9561600089,0.9530240297,1.9784292305384419,2.732375,5.653667292581615,1,35651584,0.390625,4460032,0.1582450867,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,4096,8,512,64,0.125,0.686997,0.678284,1.165871978,1.161568046,1.6970554136335385,2.732375,3.9772735543241096,1,75497472,0.8125,9440768,0.3203544617,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,4096,16,256,16,0.0625,0.5368525,0.52856,1.383872032,1.381088018,2.5777509315873544,2.732375,5.089619588248169,1,71303168,0.65625,8927232,0.1915740967,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,4096,16,256,32,0.125,0.8196205,0.812345,1.59275198,1.591935992,1.9432798227960382,2.732375,3.33370749023481,1,150994944,1.375,9451520,0.3204803467,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,8192,8,1024,64,0.0625,2.0283925,2.021012,3.653088093,3.648927927,1.8009769277888774,21.435845,10.567897978325203,1,142606336,0.390625,17829376,0.1582136154,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,8192,8,1024,128,0.125,3.8236865,3.822204,5.555439949,5.54684782,1.4529015255304012,21.435845,5.606067599945759,1,301989888,0.8125,37752320,0.3203229904,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,8192,16,512,32,0.0625,2.2790425,2.273419,4.844079971,4.837696075,2.125489090703662,21.435845,9.405636358251327,1,285212672,0.65625,17840128,0.1582450867,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,8192,16,512,64,0.125,4.344315,4.342032,6.681488037,6.666751862,1.5379842476892216,21.435845,4.934228986618144,1,603979776,1.375,37763072,0.3203544617,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,16384,8,2048,128,0.0625,13.075695,13.060557,17.8216629,17.77209663,1.362961043370926,162.58101649999998,12.433833650907273,1,570425344,0.390625,71306752,0.1582057476,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,16384,8,2048,256,0.125,28.665854500000002,28.662635,32.6160965,32.58412933,1.1378030436873945,162.58101649999998,5.671591492240357,1,1207959552,0.8125,150998528,0.3203151226,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,16384,16,1024,64,0.0625,14.1072725,14.08553,25.62289619,25.59161568,1.8162898738930575,162.58101649999998,11.524624373705121,1,1140850688,0.65625,71317504,0.1582136154,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,16384,16,1024,128,0.125,29.0049115,28.98677,39.52836609,39.46912003,1.3628162971640165,162.58101649999998,5.6052926243198495,1,2415919104,1.375,151009280,0.3203229904,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,32768,8,4096,256,0.0625,98.8523,98.774955,116.1207733,116.0325775,1.1746896460679215,1302.192237,13.173110155251825,1,2281701376,0.390625,285216256,0.1582037807,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,32768,8,4096,512,0.125,217.850823,217.562202,229.8177795,229.7858276,1.0549318856601244,1302.192237,5.9774492428702,1,4831838208,0.8125,603983360,0.3203131557,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,32768,16,2048,128,0.0625,100.6404175,100.590588,138.1444702,137.7657013,1.372653985661377,1302.192237,12.939058375825995,1,4563402752,0.65625,285227008,0.1582057476,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,32768,16,2048,256,0.125,220.325997,218.785399,254.0167542,249.4705353,1.1529132179531225,1302.192237,5.910297716705669,1,9663676416,1.375,603994112,0.3203151226,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,65536,8,8192,512,0.0625,790.7451185,786.097559,829.1564941,829.1134033,1.0485761779634686,10430.954299500001,13.191297746215554,2,4563402752,0.2578125,1140854272,0.1582032889,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,65536,8,8192,1024,0.125,1754.4770995,1751.653296,1740.974121,1740.173584,0.992303702052396,10430.954299500001,5.945335110086458,2,9663676416,0.53125,2415922688,0.3203126639,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,65536,16,4096,256,0.0625,796.1717555,794.887621,933.4246826,932.4271851,1.1723911029898373,10430.954299500001,13.10138701535488,8,2281701376,0.19140625,1140865024,0.1582037807,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_winners,65536,16,4096,512,0.125,1756.0920505,1754.291283,1876.238037,1866.337891,1.068416679220085,10430.954299500001,5.939867614872505,2,19327352832,0.8125,2415933440,0.3203131557,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
