gpu,N,q,b,rank,rank_over_b,warmups,repetitions,tlr_median_ms,tlr_min_ms,factor_bytes,persistent_pointer_bytes,workspace_data_bytes,workspace_pointer_bytes,workspace_bytes,memory_ratio,executed_flops,dense_flops,flop_ratio_ceiling
"NVIDIA H100 80GB HBM3",4096,8,512,32,0.0625,3,10,0.9561600089,0.9530240297,16777216,2048,4456448,3584,4460032,0.1582450867,9663676416,1.374389535e+11,14.22222222
"NVIDIA H100 80GB HBM3",4096,8,512,64,0.125,3,10,1.165871978,1.161568046,33554432,2048,9437184,3584,9440768,0.3203544617,2.147483648e+10,1.374389535e+11,6.4
"NVIDIA H100 80GB HBM3",4096,16,256,16,0.0625,3,10,1.383872032,1.381088018,16777216,8192,8912896,14336,8927232,0.1915740967,9663676416,1.374389535e+11,14.22222222
"NVIDIA H100 80GB HBM3",4096,16,256,32,0.125,3,10,1.59275198,1.591935992,33554432,8192,9437184,14336,9451520,0.3204803467,2.147483648e+10,1.374389535e+11,6.4
"NVIDIA H100 80GB HBM3",8192,8,1024,64,0.0625,3,10,3.653088093,3.648927927,67108864,2048,17825792,3584,17829376,0.1582136154,7.730941133e+10,1.099511628e+12,14.22222222
"NVIDIA H100 80GB HBM3",8192,8,1024,128,0.125,3,10,5.555439949,5.54684782,134217728,2048,37748736,3584,37752320,0.3203229904,1.717986918e+11,1.099511628e+12,6.4
"NVIDIA H100 80GB HBM3",8192,16,512,32,0.0625,3,10,4.844079971,4.837696075,67108864,8192,17825792,14336,17840128,0.1582450867,7.730941133e+10,1.099511628e+12,14.22222222
"NVIDIA H100 80GB HBM3",8192,16,512,64,0.125,3,10,6.681488037,6.666751862,134217728,8192,37748736,14336,37763072,0.3203544617,1.717986918e+11,1.099511628e+12,6.4
"NVIDIA H100 80GB HBM3",16384,8,2048,128,0.0625,3,10,17.8216629,17.77209663,268435456,2048,71303168,3584,71306752,0.1582057476,6.184752906e+11,8.796093022e+12,14.22222222
"NVIDIA H100 80GB HBM3",16384,8,2048,256,0.125,3,10,32.6160965,32.58412933,536870912,2048,150994944,3584,150998528,0.3203151226,1.374389535e+12,8.796093022e+12,6.4
"NVIDIA H100 80GB HBM3",16384,16,1024,64,0.0625,3,10,25.62289619,25.59161568,268435456,8192,71303168,14336,71317504,0.1582136154,6.184752906e+11,8.796093022e+12,14.22222222
"NVIDIA H100 80GB HBM3",16384,16,1024,128,0.125,3,10,39.52836609,39.46912003,536870912,8192,150994944,14336,151009280,0.3203229904,1.374389535e+12,8.796093022e+12,6.4
"NVIDIA H100 80GB HBM3",32768,8,4096,256,0.0625,3,10,116.1207733,116.0325775,1073741824,2048,285212672,3584,285216256,0.1582037807,4.947802325e+12,7.036874418e+13,14.22222222
"NVIDIA H100 80GB HBM3",32768,8,4096,512,0.125,3,10,229.8177795,229.7858276,2147483648,2048,603979776,3584,603983360,0.3203131557,1.099511628e+13,7.036874418e+13,6.4
"NVIDIA H100 80GB HBM3",32768,16,2048,128,0.0625,3,10,138.1444702,137.7657013,1073741824,8192,285212672,14336,285227008,0.1582057476,4.947802325e+12,7.036874418e+13,14.22222222
"NVIDIA H100 80GB HBM3",32768,16,2048,256,0.125,3,10,254.0167542,249.4705353,2147483648,8192,603979776,14336,603994112,0.3203151226,1.099511628e+13,7.036874418e+13,6.4
"NVIDIA H100 80GB HBM3",65536,8,8192,512,0.0625,3,10,829.1564941,829.1134033,4294967296,2048,1140850688,3584,1140854272,0.1582032889,3.95824186e+13,5.629499534e+14,14.22222222
"NVIDIA H100 80GB HBM3",65536,8,8192,1024,0.125,3,10,1740.974121,1740.173584,8589934592,2048,2415919104,3584,2415922688,0.3203126639,8.796093022e+13,5.629499534e+14,6.4
"NVIDIA H100 80GB HBM3",65536,16,4096,256,0.0625,3,10,933.4246826,932.4271851,4294967296,8192,1140850688,14336,1140865024,0.1582037807,3.95824186e+13,5.629499534e+14,14.22222222
"NVIDIA H100 80GB HBM3",65536,16,4096,512,0.125,3,10,1876.238037,1866.337891,8589934592,8192,2415919104,14336,2415933440,0.3203131557,8.796093022e+13,5.629499534e+14,6.4
