nextla_measurement_stage,N,q,b,rank,rank_over_b,nextla_median_ms,nextla_min_ms,kblas_median_ms,kblas_min_ms,kblas_time_over_nextla,nextla_dense_median_ms,nextla_speedup_over_dense,nextla_workspace_parameter,nextla_workspace_bytes,nextla_memory_ratio,kblas_workspace_bytes,kblas_memory_ratio,nextla_flop_ratio_ceiling,kblas_flop_ratio_ceiling,nextla_gpu,kblas_gpu
workspace_tuning_memory_matched,4096,8,512,32,0.0625,1.1297385,1.117811,0.9561600089,0.9530240297,0.8463551599772867,2.732375,2.418590673859482,8,4456448,0.158203125,4460032,0.1582450867,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,4096,8,512,64,0.125,1.6685195,1.661303,1.165871978,1.161568046,0.6987463904377503,2.732375,1.637604475105026,8,9437184,0.3203125,9440768,0.3203544617,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,4096,16,256,16,0.0625,1.1256075,1.109859,1.383872032,1.381088018,1.2294445728195662,2.732375,2.427466945627139,8,8912896,0.19140625,8927232,0.1915740967,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,4096,16,256,32,0.125,2.306378,2.286298,1.59275198,1.591935992,0.6905858363199788,2.732375,1.1847038950250133,16,9437184,0.3203125,9451520,0.3204803467,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,8192,8,1024,64,0.0625,2.9968455,2.991182,3.653088093,3.648927927,1.2189777861421285,21.435845,7.152802838851719,8,17825792,0.158203125,17829376,0.1582136154,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,8192,8,1024,128,0.125,4.6493565,4.635831,5.555439949,5.54684782,1.1948836250780082,21.435845,4.610497173103418,8,37748736,0.3203125,37752320,0.3203229904,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,8192,16,512,32,0.0625,3.7464565,3.741825,4.844079971,4.837696075,1.2929764354664202,21.435845,5.721631894031066,16,17825792,0.158203125,17840128,0.1582450867,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,8192,16,512,64,0.125,6.2162295,6.207922,6.681488037,6.666751862,1.074845778618695,21.435845,3.448367696205554,16,37748736,0.3203125,37763072,0.3203544617,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,16384,8,2048,128,0.0625,14.691466,14.672177,17.8216629,17.77209663,1.2130622566869773,162.58101649999998,11.066357605156625,8,71303168,0.158203125,71306752,0.1582057476,14.222222222222221,14.22222222,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
workspace_tuning_memory_matched,16384,8,2048,256,0.125,29.6735465,29.657964,32.6160965,32.58412933,1.0991640820553754,162.58101649999998,5.478988381115819,8,150994944,0.3203125,150998528,0.3203151226,6.4,6.4,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3
