case_id,N,tile_size,rank,profile,precision,workspace_bytes,padded_median_ms,padded_min_ms,dense_median_ms,dense_min_ms,speedup_vs_dense,executed_flops,padded_gflops,dense_gflops
N2048__b128__constant_b32__fp16_fp32,2048,128,4,constant_b32,fp16_fp32,4325376,4.673036,4.540658,0.06034,0.056554,0.012912376450769907,5.70425344e8,122.06739772601794,284717.7524693404
N2048__b128__constant_b16__fp16_fp32,2048,128,8,constant_b16,fp16_fp32,8912896,3.897055,3.872378,0.06034,0.056554,0.015483486889458834,1.207959552e9,309.96728349997625,284717.7524693404
N2048__b128__constant_b8__fp16_fp32,2048,128,16,constant_b8,fp16_fp32,18874368,3.811076,3.808652,0.06034,0.056554,0.01583279892607757,2.68435456e9,704.3560821143425,284717.7524693404
N2048__b128__constant_b32__fp32_tf32,2048,128,4,constant_b32,fp32_tf32,8650752,4.681419,4.478895,0.085468,0.081442,0.0182568575895471,5.70425344e8,121.84881208026883,201009.37408152758
N2048__b128__constant_b16__fp32_tf32,2048,128,8,constant_b16,fp32_tf32,17825792,4.186888,4.159277,0.085468,0.081442,0.02041325203826804,1.207959552e9,288.51011825489485,201009.37408152758
N2048__b128__constant_b8__fp32_tf32,2048,128,16,constant_b8,fp32_tf32,37748736,3.849323,3.822553,0.085468,0.081442,0.02220338485494722,2.68435456e9,697.3575769037828,201009.37408152758
N2048__b128__constant_b32__fp32,2048,128,4,constant_b32,fp32,8650752,4.971914,4.709561,0.977433,0.971134,0.1965908903492699,5.70425344e8,114.72952750188358,17576.518476458234
N2048__b128__constant_b16__fp32,2048,128,8,constant_b16,fp32,17825792,3.839348,3.821932,0.977433,0.971134,0.2545830698337322,1.207959552e9,314.6262209104254,17576.518476458234
N2048__b128__constant_b8__fp32,2048,128,16,constant_b8,fp32,37748736,3.870535,3.855752,0.977433,0.971134,0.25253175594588345,2.68435456e9,693.5357928555096,17576.518476458234
N2048__b256__constant_b32__fp16_fp32,2048,256,8,constant_b32,fp16_fp32,2162688,0.651976,0.632217,0.06034,0.056554,0.0925494189970183,5.70425344e8,874.9177024921163,284717.7524693404
N2048__b256__constant_b16__fp16_fp32,2048,256,16,constant_b16,fp16_fp32,4456448,0.652316,0.644825,0.06034,0.056554,0.09250118040949477,1.207959552e9,1851.801200645086,284717.7524693404
N2048__b256__constant_b8__fp16_fp32,2048,256,32,constant_b8,fp16_fp32,9437184,0.678245,0.648571,0.06034,0.056554,0.08896490206341366,2.68435456e9,3957.7948381484566,284717.7524693404
N2048__b256__constant_b32__fp32_tf32,2048,256,8,constant_b32,fp32_tf32,4325376,0.643774,0.625486,0.085468,0.081442,0.13276087571104148,5.70425344e8,886.0645878833255,201009.37408152758
N2048__b256__constant_b16__fp32_tf32,2048,256,16,constant_b16,fp32_tf32,8912896,0.630243,0.62742,0.085468,0.081442,0.13561118489217652,1.207959552e9,1916.6568323646593,201009.37408152758
N2048__b256__constant_b8__fp32_tf32,2048,256,32,constant_b8,fp32_tf32,18874368,0.640008,0.632948,0.085468,0.081442,0.13354208072399096,2.68435456e9,4194.251571855351,201009.37408152758
N2048__b256__constant_b32__fp32,2048,256,8,constant_b32,fp32,4325376,0.643604,0.637905,0.977433,0.971134,1.5186869565757828,5.70425344e8,886.2986308351097,17576.518476458234
N2048__b256__constant_b16__fp32,2048,256,16,constant_b16,fp32,8912896,0.68133,0.680558,0.977433,0.971134,1.4345955704284268,1.207959552e9,1772.9434371009643,17576.518476458234
N2048__b256__constant_b8__fp32,2048,256,32,constant_b8,fp32,18874368,0.69498,0.680589,0.977433,0.971134,1.406418889752223,2.68435456e9,3862.491812714035,17576.518476458234
N2048__b512__constant_b32__fp16_fp32,2048,512,16,constant_b32,fp16_fp32,1081344,0.232337,0.216484,0.06034,0.056554,0.2597089572474466,5.70425344e8,2455.1635942617836,284717.7524693404
N2048__b512__constant_b16__fp16_fp32,2048,512,32,constant_b16,fp16_fp32,2228224,0.227731,0.214131,0.06034,0.056554,0.2649617311652783,1.207959552e9,5304.326385077131,284717.7524693404
N2048__b512__constant_b8__fp16_fp32,2048,512,64,constant_b8,fp16_fp32,4718592,0.225217,0.221622,0.06034,0.056554,0.26791938441591884,2.68435456e9,11918.969527167132,284717.7524693404
N2048__b512__constant_b32__fp32_tf32,2048,512,16,constant_b32,fp32_tf32,2162688,0.220901,0.212608,0.085468,0.081442,0.3869063517141163,5.70425344e8,2582.2669159487737,201009.37408152758
N2048__b512__constant_b16__fp32_tf32,2048,512,32,constant_b16,fp32_tf32,4456448,0.212197,0.202403,0.085468,0.081442,0.4027766650800907,1.207959552e9,5692.632563137085,201009.37408152758
N2048__b512__constant_b8__fp32_tf32,2048,512,64,constant_b8,fp32_tf32,9437184,0.20719,0.203905,0.085468,0.081442,0.4125102562865003,2.68435456e9,12956.004440368744,201009.37408152758
