case_id,N,tile_size,tile_grid,min_rank,max_rank,policy,precision,rows_per_run,factor_bytes,workspace_bytes,padding_waste_pct,analysis_median_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,exact_flops,executed_flops,executed_padding_waste_pct,row_runs,left_runs,has_fallback,stage1_distinct_shapes,stage1_grouped_submissions,stage1_groups,stage1_grouped_tasks,stage1_fallback_tasks,stage2_distinct_shapes,stage2_grouped_submissions,stage2_groups,stage2_grouped_tasks,stage2_fallback_tasks,stage3_distinct_shapes,stage3_grouped_submissions,stage3_groups,stage3_grouped_tasks,stage3_fallback_tasks
N8192__b512__r1-128__exact__fp16_fp32__rows4,8192,512,16,1,128,exact,fp16_fp32,4,65878016,74188708,0.0,14.205235,14.158495,64.400137,62.275588,1.64598900736e11,1.64598900736e11,0.0,4,3,true,240,4,34,34,222,3428,1,18,18,4078,20,0,0,0,196
N8192__b512__r1-128__q8__fp16_fp32__rows4,8192,512,16,1,128,q8,fp16_fp32,4,69648384,78799744,6.4083756808140855,34.671477,34.578026,1.360709,1.350279,1.64598900736e11,1.75869263872e11,6.4083756808140855,4,3,false,168,4,235,256,0,500,4,1242,4096,0,18,4,46,196,0
N8192__b512__r1-128__q16__fp16_fp32__rows4,8192,512,16,1,128,q16,fp16_fp32,4,74153984,84500992,13.408128783856466,34.561076,34.297682,1.371139,1.368749,1.64598900736e11,1.9008585728e11,13.408128783856466,4,3,false,96,4,193,256,0,128,4,418,4096,0,17,4,43,196,0
N8192__b512__r1-128__pow2__fp16_fp32__rows4,8192,512,16,1,128,pow2,fp16_fp32,4,87015424,101212672,28.68273944513338,34.8218,34.564876,1.42872,1.426809,1.65081245696e11,2.3147446272e11,28.68273944513338,4,4,false,62,4,151,256,0,25,4,100,4096,0,14,4,56,256,0
N16384__b1024__r1-128__exact__fp16_fp32__rows4,16384,1024,16,1,128,exact,fp16_fp32,4,131756032,138733476,0.0,13.76902,13.640888,62.882626,62.594972,5.9260848128e11,5.9260848128e11,0.0,4,3,true,240,4,34,34,222,3428,1,18,18,4078,20,0,0,0,196
N16384__b1024__r1-128__q8__fp16_fp32__rows4,16384,1024,16,1,128,q8,fp16_fp32,4,139296768,146891648,5.920940684698797,34.645038,34.603027,3.731472,3.722781,5.9260848128e11,6.29904769024e11,5.920940684698797,4,3,false,168,4,235,256,0,500,4,1242,4096,0,18,4,46,196,0
N16384__b1024__r1-128__q16__fp16_fp32__rows4,16384,1024,16,1,128,q16,fp16_fp32,4,148307968,157049344,12.447407253673099,34.77827,34.721078,3.786282,3.785602,5.9260848128e11,6.76860002304e11,12.447407253673099,4,3,false,96,4,193,256,0,128,4,418,4096,0,17,4,43,196,0
N16384__b1024__r1-128__pow2__fp16_fp32__rows4,16384,1024,16,1,128,pow2,fp16_fp32,4,174030848,186245632,26.712812333381805,34.76644,34.624417,4.099376,4.088526,5.9453786112e11,8.112439296e11,26.712812333381805,4,4,false,62,4,151,256,0,25,4,100,4096,0,14,4,56,256,0
N32768__b2048__r1-128__exact__fp16_fp32__rows4,32768,2048,16,1,128,exact,fp16_fp32,4,263512064,267823012,0.0,13.872281,13.688619,69.104682,68.831258,2.238859681792e12,2.238859681792e12,0.0,4,3,true,240,4,34,34,222,3428,1,18,18,4078,20,0,0,0,196
N32768__b2048__r1-128__q8__fp16_fp32__rows4,32768,2048,16,1,128,q8,fp16_fp32,4,278593536,283075456,5.63187596737424,34.852671,34.661178,12.35555,12.040966,2.238859681792e12,2.372474503168e12,5.63187596737424,4,3,false,168,4,235,256,0,500,4,1242,4096,0,18,4,46,196,0
N32768__b2048__r1-128__q16__fp16_fp32__rows4,32768,2048,16,1,128,q16,fp16_fp32,4,296615936,302146048,11.872334613300236,34.722919,34.720359,12.576833,12.36556,2.238859681792e12,2.540473155584e12,11.872334613300236,4,3,false,96,4,193,256,0,128,4,418,4096,0,17,4,43,196,0
N32768__b2048__r1-128__pow2__fp16_fp32__rows4,32768,2048,16,1,128,pow2,fp16_fp32,4,348061696,356311552,25.50316236245921,34.734599,34.680398,13.980523,13.677158,2.246577201152e12,3.01566787584e12,25.50316236245921,4,4,false,62,4,151,256,0,25,4,100,4096,0,14,4,56,256,0
N65536__b4096__r1-128__exact__fp16_fp32__rows4,65536,4096,16,1,128,exact,fp16_fp32,4,527024128,526002084,0.0,13.725839,13.706309,117.194386,117.097124,8.692290240512e12,8.692290240512e12,0.0,4,3,true,240,4,34,34,222,3428,1,18,18,4078,20,0,0,0,196
N65536__b4096__r1-128__q8__fp16_fp32__rows4,65536,4096,16,1,128,q8,fp16_fp32,4,557187072,555443072,5.473467103633728,34.730118,34.704618,46.993448,45.674039,8.692290240512e12,9.195608866816e12,5.473467103633728,4,3,false,168,4,235,256,0,500,4,1242,4096,0,18,4,46,196,0
N65536__b4096__r1-128__q16__fp16_fp32__rows4,65536,4096,16,1,128,q16,fp16_fp32,4,593231872,592339456,11.555488625602177,34.779639,34.540306,48.202835,48.100853,8.692290240512e12,9.827958915072e12,11.555488625602177,4,3,false,96,4,193,256,0,128,4,418,4096,0,17,4,43,196,0
N65536__b4096__r1-128__pow2__fp16_fp32__rows4,65536,4096,16,1,128,pow2,fp16_fp32,4,696123392,696443392,24.8266256678947,34.655148,34.590287,55.295532,55.05712,8.723160317952e12,1.160405581824e13,24.8266256678947,4,4,false,62,4,151,256,0,25,4,100,4096,0,14,4,56,256,0
