case_id,stage,run,kind,m,n,k,members
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,70,873,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,60,1051,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,25,836,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,38,873,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,77,981,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,89,780,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,89,1068,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,grouped,31,1019,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,81,981,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,76,1051,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,121,936,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,6,1203,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,104,947,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,110,780,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,61,1110,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,52,1068,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,11,810,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,64,1154,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,4,836,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,41,1008,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,121,904,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,119,1078,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,4,1019,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,66,873,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,71,981,512,1
N8192__b512__r1-128__exact__fp16_fp32__rows4,stage1,1,fallback,54,936,512,1
