case_id,N,tile_size,rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,executed_flops,executed_gflops
N2048__b256__r32__fp16_fp32__rows1,2048,256,32,fp16_fp32,1,1179648,8.053317,7.350916,0.239648,0.239028,2.68435456e9,11201.23915075444
N2048__b256__r32__fp16_fp32__rows2,2048,256,32,fp16_fp32,2,2359296,3.258475,3.171534,0.147991,0.146859,2.68435456e9,18138.63383584137
N2048__b256__r32__fp16_fp32__rows3,2048,256,32,fp16_fp32,3,3538944,2.779107,2.698326,0.122974,0.121832,2.68435456e9,21828.63499601542
N2048__b256__r32__fp16_fp32__rows4,2048,256,32,fp16_fp32,4,4718592,2.536464,2.518317,0.099068,0.095853,2.68435456e9,27096.081075624825
N2048__b256__r32__fp16_fp32__rows5,2048,256,32,fp16_fp32,5,5898240,2.313651,2.300091,0.101752,0.098618,2.68435456e9,26381.344445318027
N2048__b256__r32__fp16_fp32__rows6,2048,256,32,fp16_fp32,6,7077888,2.424216,2.389805,0.10069,0.098327,2.68435456e9,26659.59439864932
N2048__b256__r32__fp16_fp32__rows7,2048,256,32,fp16_fp32,7,8257536,2.291097,2.288934,0.098918,0.097596,2.68435456e9,27137.169776987
N2048__b256__r32__fp16_fp32__rows8,2048,256,32,fp16_fp32,8,9437184,1.752221,1.742687,0.074932,0.072909,2.68435456e9,35823.874446164526
N2048__b256__r32__fp32_tf32__rows1,2048,256,32,fp32_tf32,1,2359296,5.05375,4.96713,0.336373,0.334881,2.68435456e9,7980.29140269879
N2048__b256__r32__fp32_tf32__rows2,2048,256,32,fp32_tf32,2,4718592,3.155731,3.125786,0.183975,0.181191,2.68435456e9,14590.865932871315
N2048__b256__r32__fp32_tf32__rows3,2048,256,32,fp32_tf32,3,7077888,2.628121,2.55994,0.163515,0.163134,2.68435456e9,16416.5645965202
N2048__b256__r32__fp32_tf32__rows4,2048,256,32,fp32_tf32,4,9437184,2.461121,2.357407,0.122153,0.121773,2.68435456e9,21975.34698288212
N2048__b256__r32__fp32_tf32__rows5,2048,256,32,fp32_tf32,5,11796480,2.319319,2.237317,0.127551,0.1273,2.68435456e9,21045.3431176549
N2048__b256__r32__fp32_tf32__rows6,2048,256,32,fp32_tf32,6,14155776,2.311348,2.227943,0.123234,0.120371,2.68435456e9,21782.580781277895
N2048__b256__r32__fp32_tf32__rows7,2048,256,32,fp32_tf32,7,16515072,2.250577,2.242124,0.127591,0.125448,2.68435456e9,21038.745366052462
N2048__b256__r32__fp32_tf32__rows8,2048,256,32,fp32_tf32,8,18874368,1.868094,1.814685,0.085878,0.083225,2.68435456e9,31257.76753068306
N2048__b256__r32__fp32__rows1,2048,256,32,fp32,1,2359296,4.798267,4.710225,1.349409,0.864464,2.68435456e9,1989.2816484846328
N2048__b256__r32__fp32__rows2,2048,256,32,fp32,2,4718592,3.003163,3.003132,0.40076,0.397304,2.68435456e9,6698.159896197225
N2048__b256__r32__fp32__rows3,2048,256,32,fp32,3,7077888,2.568442,2.430927,0.373359,0.372057,2.68435456e9,7189.741133868475
N2048__b256__r32__fp32__rows4,2048,256,32,fp32,4,9437184,2.404407,2.281693,0.292258,0.290675,2.68435456e9,9184.879661121338
N2048__b256__r32__fp32__rows5,2048,256,32,fp32,5,11796480,2.168093,2.090246,0.30719,0.304936,2.68435456e9,8738.417787037339
N2048__b256__r32__fp32__rows6,2048,256,32,fp32,6,14155776,2.251828,1.963978,0.302383,0.300739,2.68435456e9,8877.332918847951
N2048__b256__r32__fp32__rows7,2048,256,32,fp32,7,16515072,2.268393,2.083427,0.315712,0.31427,2.68435456e9,8502.542063652949
N2048__b256__r32__fp32__rows8,2048,256,32,fp32,8,18874368,1.716718,1.702126,0.206019,0.205868,2.68435456e9,13029.645615210247
N4096__b512__r64__fp16_fp32__rows1,4096,512,64,fp16_fp32,1,4718592,5.415511,4.975653,0.36708,0.356633,2.147483648e10,58501.788384003485
N4096__b512__r64__fp16_fp32__rows2,4096,512,64,fp16_fp32,2,9437184,5.012238,4.882644,0.259158,0.254791,2.147483648e10,82863.87639972527
N4096__b512__r64__fp16_fp32__rows3,4096,512,64,fp16_fp32,3,14155776,4.116068,2.896292,0.230995,0.230706,2.147483648e10,92966.67235221542
N4096__b512__r64__fp16_fp32__rows4,4096,512,64,fp16_fp32,4,18874368,5.403092,4.034305,0.199238,0.197496,2.147483648e10,107784.8426504984
N4096__b512__r64__fp16_fp32__rows5,4096,512,64,fp16_fp32,5,23592960,3.620526,3.43621,0.205738,0.205477,2.147483648e10,104379.53358154546
N4096__b512__r64__fp16_fp32__rows6,4096,512,64,fp16_fp32,6,28311552,3.499705,3.477201,0.204065,0.203505,2.147483648e10,105235.2754269473
N4096__b512__r64__fp16_fp32__rows7,4096,512,64,fp16_fp32,7,33030144,3.717241,2.47355,0.208322,0.205067,2.147483648e10,103084.82291836676
N4096__b512__r64__fp16_fp32__rows8,4096,512,64,fp16_fp32,8,37748736,2.703384,2.641011,0.177766,0.177345,2.147483648e10,120803.95846224812
N4096__b512__r64__fp32_tf32__rows1,4096,512,64,fp32_tf32,1,9437184,8.908597,5.66909,0.626877,0.625275,2.147483648e10,34256.858171539236
N4096__b512__r64__fp32_tf32__rows2,4096,512,64,fp32_tf32,2,18874368,5.580318,5.216093,0.377124,0.37435,2.147483648e10,56943.70148810471
N4096__b512__r64__fp32_tf32__rows3,4096,512,64,fp32_tf32,3,28311552,3.280177,3.002251,0.364405,0.362833,2.147483648e10,58931.23442323788
N4096__b512__r64__fp32_tf32__rows4,4096,512,64,fp32_tf32,4,37748736,2.77388,2.541231,0.294922,0.294861,2.147483648e10,72815.30872569696
N4096__b512__r64__fp32_tf32__rows5,4096,512,64,fp32_tf32,5,47185920,2.176676,2.114804,0.316343,0.316193,2.147483648e10,67884.65836133563
N4096__b512__r64__fp32_tf32__rows6,4096,512,64,fp32_tf32,6,56623104,2.222916,2.216315,0.287741,0.28751,2.147483648e10,74632.52188600165
N4096__b512__r64__fp32_tf32__rows7,4096,512,64,fp32_tf32,7,66060288,2.220412,2.072079,0.309723,0.309203,2.147483648e10,69335.62079664733
N4096__b512__r64__fp32_tf32__rows8,4096,512,64,fp32_tf32,8,75497472,1.649547,1.638922,0.240269,0.239739,2.147483648e10,89378.30714740562
N4096__b512__r64__fp32__rows1,4096,512,64,fp32,1,9437184,5.112118,4.797066,1.696849,1.696728,2.147483648e10,12655.714491978957
N4096__b512__r64__fp32__rows2,4096,512,64,fp32,2,18874368,3.10833,2.889943,1.010552,1.007708,2.147483648e10,21250.60014724626
